sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 1
Report intermediate results every 1 second(s)
Random number generator seed is 0 and will be ignored


Threads started!

[ 105s] threads: 1, tps: 53.00, reads: 729.96, writes: 0.00, response time: 21.32ms (95%), errors: 0.00, reconnects:  0.00
[ 106s] threads: 1, tps: 50.00, reads: 710.03, writes: 0.00, response time: 22.06ms (95%), errors: 0.00, reconnects:  0.00
[ 107s] threads: 1, tps: 50.00, reads: 691.93, writes: 0.00, response time: 23.27ms (95%), errors: 0.00, reconnects:  0.00
[ 108s] threads: 1, tps: 50.01, reads: 709.08, writes: 0.00, response time: 22.14ms (95%), errors: 0.00, reconnects:  0.00
[ 109s] threads: 1, tps: 49.00, reads: 686.96, writes: 0.00, response time: 21.63ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 1, tps: 50.00, reads: 701.02, writes: 0.00, response time: 26.17ms (95%), errors: 0.00, reconnects:  0.00
[ 111s] threads: 1, tps: 51.00, reads: 712.96, writes: 0.00, response time: 21.00ms (95%), errors: 0.00, reconnects:  0.00
[ 112s] threads: 1, tps: 50.00, reads: 691.05, writes: 0.00, response time: 22.35ms (95%), errors: 0.00, reconnects:  0.00
[ 113s] threads: 1, tps: 49.00, reads: 695.96, writes: 0.00, response time: 22.04ms (95%), errors: 0.00, reconnects:  0.00
[ 114s] threads: 1, tps: 50.00, reads: 688.02, writes: 0.00, response time: 21.93ms (95%), errors: 0.00, reconnects:  0.00
[ 115s] threads: 1, tps: 51.00, reads: 723.97, writes: 0.00, response time: 20.87ms (95%), errors: 0.00, reconnects:  0.00
[ 116s] threads: 1, tps: 50.00, reads: 700.05, writes: 0.00, response time: 21.58ms (95%), errors: 0.00, reconnects:  0.00
[ 117s] threads: 1, tps: 50.00, reads: 701.96, writes: 0.00, response time: 21.95ms (95%), errors: 0.00, reconnects:  0.00
[ 118s] threads: 1, tps: 49.00, reads: 686.02, writes: 0.00, response time: 22.33ms (95%), errors: 0.00, reconnects:  0.00
[ 119s] threads: 1, tps: 52.99, reads: 740.93, writes: 0.00, response time: 21.33ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 1, tps: 55.01, reads: 769.09, writes: 0.00, response time: 20.19ms (95%), errors: 0.00, reconnects:  0.00
[ 121s] threads: 1, tps: 54.00, reads: 754.96, writes: 0.00, response time: 19.29ms (95%), errors: 0.00, reconnects:  0.00
[ 122s] threads: 1, tps: 52.00, reads: 721.02, writes: 0.00, response time: 21.12ms (95%), errors: 0.00, reconnects:  0.00
[ 123s] threads: 1, tps: 50.00, reads: 708.97, writes: 0.00, response time: 23.45ms (95%), errors: 0.00, reconnects:  0.00
[ 124s] threads: 1, tps: 52.00, reads: 726.05, writes: 0.00, response time: 21.75ms (95%), errors: 0.00, reconnects:  0.00
