sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 1
Report intermediate results every 1 second(s)
Random number generator seed is 0 and will be ignored


Threads started!

[  96s] threads: 1, tps: 261.99, reads: 3667.93, writes: 0.00, response time: 4.98ms (95%), errors: 0.00, reconnects:  0.00
[  97s] threads: 1, tps: 282.98, reads: 3967.71, writes: 0.00, response time: 4.03ms (95%), errors: 0.00, reconnects:  0.00
[  98s] threads: 1, tps: 281.02, reads: 3934.29, writes: 0.00, response time: 3.97ms (95%), errors: 0.00, reconnects:  0.00
[  99s] threads: 1, tps: 275.00, reads: 3858.07, writes: 0.00, response time: 3.92ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 1, tps: 255.99, reads: 3580.89, writes: 0.00, response time: 4.67ms (95%), errors: 0.00, reconnects:  0.00
[ 101s] threads: 1, tps: 238.99, reads: 3348.84, writes: 0.00, response time: 5.51ms (95%), errors: 0.00, reconnects:  0.00
[ 102s] threads: 1, tps: 263.02, reads: 3682.26, writes: 0.00, response time: 4.30ms (95%), errors: 0.00, reconnects:  0.00
[ 103s] threads: 1, tps: 275.00, reads: 3846.00, writes: 0.00, response time: 4.01ms (95%), errors: 0.00, reconnects:  0.00
[ 104s] threads: 1, tps: 276.00, reads: 3857.96, writes: 0.00, response time: 4.01ms (95%), errors: 0.00, reconnects:  0.00
[ 105s] threads: 1, tps: 271.97, reads: 3811.54, writes: 0.00, response time: 4.09ms (95%), errors: 0.00, reconnects:  0.00
[ 106s] threads: 1, tps: 281.04, reads: 3938.57, writes: 0.00, response time: 4.05ms (95%), errors: 0.00, reconnects:  0.00
[ 107s] threads: 1, tps: 276.00, reads: 3852.98, writes: 0.00, response time: 4.44ms (95%), errors: 0.00, reconnects:  0.00
[ 108s] threads: 1, tps: 262.00, reads: 3669.02, writes: 0.00, response time: 3.99ms (95%), errors: 0.00, reconnects:  0.00
[ 109s] threads: 1, tps: 272.00, reads: 3811.94, writes: 0.00, response time: 4.05ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 1, tps: 271.00, reads: 3799.94, writes: 0.00, response time: 4.13ms (95%), errors: 0.00, reconnects:  0.00
